_id,State,Constituency,Party,Candidate Name,,,,
198,Andhra Pradesh,Vijayawada,Republican Party of India (Athawale),PERAM SIVA NAGESWARA RAO,,,,
199,Andhra Pradesh,Vijayawada,Jai Maha Bharath Party,CHINTHALACHERUVU HEMALATHA,,,,
200,Andhra Pradesh,Vijayawada,Andhra Rastra Praja Samithi,DEVARASETTY RAVEENDRA BABU,,,,
201,Andhra Pradesh,Vijayawada,Independent,VENKATA ASHOK PAPPURI,,,,
202,Andhra Pradesh,Vijayawada,Navataram Party,KRISHNA KISHORE YANAMANDRA,,,,
203,Andhra Pradesh,Vijayawada,Yuvajana Sramika Rythu Congress Party,KESINENI SRINIVAS  (NANI),,,,
204,Andhra Pradesh,Vijayawada,Independent,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),,,,
205,Andhra Pradesh,Vijayawada,Pyramid Party of India,CHAGANTIPATI GANGADHAR GANDHI,,,,
206,Andhra Pradesh,Vijayawada,All India Jaihind Party,N DASARADHA RAMI REDDY,,,,
207,Andhra Pradesh,Vijayawada,Navarang Congress Party,SYED KHAMURUNNISA,,,,
208,Andhra Pradesh,Vijayawada,Independent,ANIL KUMAR MADDINENI,,,,
209,Andhra Pradesh,Vijayawada,Telugu Rajadhikara Samiti Party,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),,,,
210,Andhra Pradesh,Vijayawada,Socialist Unity Centre Of India (COMMUNIST),GUJJULA LALITHA,,,,
211,Andhra Pradesh,Guntur,Independent,SIVA PARVATHI,,,,
212,Andhra Pradesh,Guntur,Viduthalai Chiruthaigal Katchi,CHALLAPALLI RATAN RAJU,,,,
213,Andhra Pradesh,Guntur,Telugu Desam,DR CHANDRA SEKHAR PEMMASANI,,,,
214,Andhra Pradesh,Guntur,Jatiya Jana Sena Party,SIKHAKOLLI HEMA GOWRI SHANKAR,,,,
215,Andhra Pradesh,Guntur,Loktantrik Janta Dal,BURAGA RATNAM,,,,
216,Andhra Pradesh,Guntur,Independent,ASHOK ANAND GALI,,,,
217,Andhra Pradesh,Guntur,Independent,MADAVARAPU NAGA RAJU,,,,
218,Andhra Pradesh,Guntur,Jana Sahayaka Sakthi,UMAR BHASHA SHAIK,,,,
219,Andhra Pradesh,Guntur,Telugu Rajadhikara Samiti Party,PATHAN KHAJA (BASHA),,,,
220,Andhra Pradesh,Guntur,Jai Bharat National Party,HARI VENKATA SATISH  KURNALA,,,,
221,Andhra Pradesh,Guntur,Navodayam Party,EMANI. CHANDRASEKHAR RAO,,,,
222,Andhra Pradesh,Guntur,Yuvajana Sramika Rythu Congress Party,KILARI VENKATA ROSAIAH,,,,
223,Andhra Pradesh,Guntur,Jaibhim Rao Bharat Party,SAMUDRALA CHINNA KOTAIAH,,,,
224,Andhra Pradesh,Guntur,Marxist Communist Party of India (United),AMARTHALURI VENKATESWARA RAO.,,,,
225,Andhra Pradesh,Guntur,Communist Party of India,JANGALA AJAY KUMAR,,,,
226,Andhra Pradesh,Guntur,Independent,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,,,,
227,Andhra Pradesh,Guntur,Independent,KANNEBOYINA VAMSI KRISHNA YADAV,,,,
228,Andhra Pradesh,Guntur,Navataram Party,SIVAREDDY. ENDREDDY,,,,
229,Andhra Pradesh,Guntur,Independent,PILLI BABU RAO,,,,
230,Andhra Pradesh,Guntur,Bahujan Samaj Party,TENALI PRAKASH,,,,
231,Andhra Pradesh,Guntur,Bengaluru Nava Nirmana Party,VISHNU REDDY LANKIREDDY,,,,
232,Andhra Pradesh,Guntur,Andhra Pradesh Rashtra Samithi,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,,,,
233,Andhra Pradesh,Guntur,Independent,SHAIK. KHAJAVALI,,,,
234,Andhra Pradesh,Guntur,All Peoples Party,BOMMASANI MUTYALA RAO,,,,
235,Andhra Pradesh,Guntur,Indian Labour Party (Ambedkar Phule),DR. RAYAPUDI RAJESH VIJAY KUMAR,,,,
236,Andhra Pradesh,Guntur,Navarang Congress Party,SYED. SAIDA,,,,
237,Andhra Pradesh,Guntur,Independent,SHAIK ASLAM AKTHER,,,,
238,Andhra Pradesh,Guntur,Independent,SRIKRISHNA AKKISETTI,,,,
239,Andhra Pradesh,Guntur,Independent,GAYATRI AUDHIPUDI,,,,
240,Andhra Pradesh,Guntur,Pyramid Party of India,AMBATI CHALAMAIAH,,,,
241,Andhra Pradesh,Narsaraopet,Revolutionary Socialist Party,GARLAPATI SUBHASH PREM,,,,
242,Andhra Pradesh,Narsaraopet,Indian National Congress,GARNEPUDI ALEXANDER SUDHAKAR,,,,
243,Andhra Pradesh,Narsaraopet,National Nava Kranthi Party,PASUPULETI PICHAIAH,,,,
244,Andhra Pradesh,Narsaraopet,Bahujan Samaj Party,ORSU PREMARAJU,,,,
245,Andhra Pradesh,Narsaraopet,Independent,SUBBARAO CHALLA,,,,
246,Andhra Pradesh,Narsaraopet,Jatiya Jana Sena Party,DOCTOR GODA RAMESH KUMAR,,,,
247,Andhra Pradesh,Narsaraopet,Jaibhim Rao Bharat Party,KUCHIPUDI JOHN BABU,,,,
248,Andhra Pradesh,Narsaraopet,Jaathia Chethi Vruthula Ikya Vedika Party,P VENKATESH,,,,
249,Andhra Pradesh,Narsaraopet,Pyramid Party of India,KOTA POTHURAJU,,,,
250,Andhra Pradesh,Narsaraopet,Telugu Desam,LAVU SRIKRISHNA DEVARAYALU,,,,
251,Andhra Pradesh,Narsaraopet,Yuvajana Sramika Rythu Congress Party,ANIL KUMAR POLUBOINA,,,,
252,Andhra Pradesh,Narsaraopet,Independent,ABDUL RAJAK SHAIK,,,,
253,Andhra Pradesh,Narsaraopet,All India Forward Bloc,THOKALA NAGA RAJU,,,,
254,Andhra Pradesh,Narsaraopet,Independent,YAMPATI VEERANJANEYA REDDY,,,,
255,Andhra Pradesh,Narsaraopet,Navarang Congress Party,PAPPULA SAMBASIVA RAO,,,,
256,Andhra Pradesh,Narsaraopet,Independent,ABDUL RAJAK SHAIK,,,,
257,Andhra Pradesh,Bapatla (SC),Independent,KONDRU KIRAN KUMAR,,,,
258,Andhra Pradesh,Bapatla (SC),Independent,GADDE. VIJAYA LAKSHMI,,,,
259,Andhra Pradesh,Bapatla (SC),Liberation Congress Party,PALADUG VIJENDRA RAO (BAHUJAN),,,,
260,Andhra Pradesh,Bapatla (SC),All Peoples Party,CHINNAM MURALIDHAR,,,,
261,Andhra Pradesh,Bapatla (SC),Independent,BUSSA. NAGARAJU,,,,
262,Andhra Pradesh,Bapatla (SC),Telugu Desam,KRISHNA PRASAD TENNETI,,,,
263,Andhra Pradesh,Bapatla (SC),Yuvajana Sramika Rythu Congress Party,NANDIGAM SURESH BABU,,,,
264,Andhra Pradesh,Bapatla (SC),Indian National Congress,J.D. SEELAM,,,,
265,Andhra Pradesh,Bapatla (SC),Independent,KATTA HEMANAND,,,,
266,Andhra Pradesh,Bapatla (SC),India Praja Bandhu Party,MERUGUPALA SADASIVA RAO,,,,
267,Andhra Pradesh,Bapatla (SC),Independent,KATTA ANAND BABU,,,,
268,Andhra Pradesh,Bapatla (SC),Jaibhim Rao Bharat Party,PARRE. KOTAIAH,,,,
269,Andhra Pradesh,Bapatla (SC),Navataram Party,NALAMALA TIRUPATI RAO,,,,
270,Andhra Pradesh,Bapatla (SC),Bahujan Samaj Party,DOKKA JAGAN MOHANA RAO,,,,
271,Andhra Pradesh,Bapatla (SC),Pyramid Party of India,KATTAPOGU. VIJAY KUMAR,,,,
272,Andhra Pradesh,Ongole,Independent,PODILI RAMBABU,,,,
273,Andhra Pradesh,Ongole,Independent,HARI PRASAD TUPAKULA,,,,
274,Andhra Pradesh,Ongole,Independent,U MADHU BABU,,,,
275,Andhra Pradesh,Ongole,Independent,KOTA VAMSI KRISHNA,,,,
276,Andhra Pradesh,Ongole,Independent,YARRA DASARADHARAMAIAH,,,,
277,Andhra Pradesh,Ongole,Independent,SESHUBABU GUDDANTI,,,,
278,Andhra Pradesh,Ongole,Independent,KARATAPU RAJU,,,,
279,Andhra Pradesh,Ongole,Independent,SINGAMNENI SREEKANTH,,,,
280,Andhra Pradesh,Ongole,Independent,VESHAPOGU GURAVABABU,,,,
281,Andhra Pradesh,Ongole,Independent,MOHAN GOUD J V,,,,
